layer,gamma_lgeo,ladder_L0,ladder_L1,ladder_L2,ladder_L3,ladder_L4
lm_head,5.113416079922967,8.0,7.605481475588272,7.535389992996121,6.042621077652511,2.0
transformer.h.0.attn.c_attn,2.724642015717853,2.0,2.0,2.0,3.432873826627728,5.956713688374149
transformer.h.0.attn.c_proj,2.250916844662603,2.0,2.0,2.0139380751346976,5.124785515076446,2.0
transformer.h.0.mlp.c_fc,2.7543349810010533,2.0,2.0,2.0,2.4466757097285274,6.172601909816137
transformer.h.0.mlp.c_proj,2.9613458058159963,2.0,2.13065128192182,2.06055979932967,2.865850882447792,2.0
transformer.h.1.attn.c_attn,2.6807561710975296,2.0,2.0,2.150823384283248,3.002932704209628,6.293759097493989
transformer.h.1.attn.c_proj,2.544580918120356,2.0,2.5608893403809736,2.7832791081494017,3.6957319691663093,2.0
transformer.h.1.mlp.c_fc,2.9322379350459897,2.0,2.0,2.0,3.058396225817039,6.9459248694307485
transformer.h.1.mlp.c_proj,2.687409110383793,2.0,2.0,2.0,3.239759831473462,2.0
transformer.h.10.attn.c_attn,4.213401198011129,2.221334399237897,2.8159139583013193,3.0383037260697474,3.546266953941312,6.042586932279804
transformer.h.10.attn.c_proj,4.063687193142942,2.0,2.7659162223395066,2.9883059901079347,2.3499377355150006,2.0
transformer.h.10.mlp.c_fc,3.738234907803923,2.0,2.1994716394243237,2.1293801568321737,2.516620526836812,6.366747992245708
transformer.h.10.mlp.c_proj,3.736177619929262,2.0,2.4763582762974234,2.4062667937052735,2.0,2.0
transformer.h.11.attn.c_attn,4.298106142298478,2.0,2.792996410774868,3.015386178543296,3.0646629217459243,6.233241944184218
transformer.h.11.attn.c_proj,4.149627622007394,2.0,3.462838595043795,3.6852283628122238,2.80951549666516,2.0
transformer.h.11.mlp.c_fc,3.7115957922425196,2.0,2.1673538572184348,2.097262374626285,2.605211529063274,7.752624186420658
transformer.h.11.mlp.c_proj,3.7787980941664108,2.3366665356014384,2.6944047837870304,2.6243133011948805,2.0,2.0
transformer.h.2.attn.c_attn,2.890508165677772,2.591635774440814,2.6979725810027744,2.9203623487712025,3.9547274668437407,7.413126914283207
transformer.h.2.attn.c_proj,3.0834665357029167,2.0,2.687505771216793,2.909895538985221,3.779996977476843,2.0
transformer.h.2.mlp.c_fc,3.35429000689807,2.0,2.248869683966134,2.178778201373984,3.258383252678768,7.598687144015466
transformer.h.2.mlp.c_proj,2.982380053551024,2.8347014055134507,2.2032974948552604,2.1332060122631105,3.412576339137222,2.0
transformer.h.3.attn.c_attn,3.4359333469872286,3.088986648278383,3.025142288790242,3.2475320565586703,4.4911689369745105,7.685251875514356
transformer.h.3.attn.c_proj,3.4928254352613233,2.0,2.472148536953644,2.694538304722072,3.5289831488450885,2.0
transformer.h.3.mlp.c_fc,3.5719223766304227,2.0,2.3136680383454706,2.2435765557533207,2.9752394973340808,7.195655168553482
transformer.h.3.mlp.c_proj,3.163388924319387,2.0,2.0,2.0,2.8361358002076535,2.0
transformer.h.4.attn.c_attn,3.715472507181765,2.8326069978022765,2.890424892070322,3.11281465983875,4.508676709449589,7.371821102344796
transformer.h.4.attn.c_proj,3.4833781643810453,2.0,2.3741630480337954,2.596552815802224,3.28067238067215,2.0
transformer.h.4.mlp.c_fc,3.560189281958798,2.0,2.278901466180439,2.208809983588289,3.044230067555919,6.856165640527832
transformer.h.4.mlp.c_proj,3.2207120314655486,2.0,2.0,2.0,2.808914484684127,2.0
transformer.h.5.attn.c_attn,4.051805126876781,3.034728852045023,3.115064518191378,3.337454285959806,4.815831561182356,7.434472043390509
transformer.h.5.attn.c_proj,3.6322095596264505,2.0,2.557808941728723,2.780198709497151,3.307142663731807,2.0
transformer.h.5.mlp.c_fc,3.7008731069469794,2.0,2.3392534221636336,2.2691619395714837,2.995627715337813,7.383367717040706
transformer.h.5.mlp.c_proj,3.3534625129675946,2.0,2.0,2.0,2.709561366328421,2.0
transformer.h.6.attn.c_attn,4.030488261319832,2.9352340476092147,3.0173447645509643,3.2397345323193925,4.685663619815605,8.0
transformer.h.6.attn.c_proj,3.564364771798559,2.0,2.2164212446568827,2.438811012425311,2.783260914932363,2.0
